Easting,Northing,z,SVF_hemi
705479.985,2715300.18,2498.710938,0.798
705479.985,2715300.18,2502.710938,0.865
705479.985,2715300.18,2506.710938,0.882
705479.985,2715300.18,2510.710938,0.895
705484.985,2715300.18,2475.592773,0.018
705484.985,2715300.18,2479.592773,0.031
705484.985,2715300.18,2483.592773,0.062
705484.985,2715300.18,2487.592773,0.146
705484.985,2715300.18,2491.592773,0.314
705484.985,2715300.18,2495.592773,0.566
705484.985,2715300.18,2499.592773,0.804
705484.985,2715300.18,2503.592773,0.862
705484.985,2715300.18,2507.592773,0.88
705484.985,2715300.18,2511.592773,0.894
705489.985,2715300.18,2477.231689,0.011
705489.985,2715300.18,2481.231689,0.023
705489.985,2715300.18,2485.231689,0.054
705489.985,2715300.18,2489.231689,0.131
705489.985,2715300.18,2493.231689,0.295
705489.985,2715300.18,2497.231689,0.559
705489.985,2715300.18,2501.231689,0.796
705489.985,2715300.18,2505.231689,0.856
705489.985,2715300.18,2509.231689,0.878
705489.985,2715300.18,2513.231689,0.891
705494.985,2715300.18,2477.969727,0.008
705494.985,2715300.18,2481.969727,0.02
705494.985,2715300.18,2485.969727,0.053
705494.985,2715300.18,2489.969727,0.138
705494.985,2715300.18,2493.969727,0.308
705494.985,2715300.18,2497.969727,0.576
705494.985,2715300.18,2501.969727,0.79
705494.985,2715300.18,2505.969727,0.852
705494.985,2715300.18,2509.969727,0.875
705494.985,2715300.18,2513.969727,0.89
705399.985,2715305.18,2463.35083,0.068
705399.985,2715305.18,2467.35083,0.136
705399.985,2715305.18,2471.35083,0.257
705399.985,2715305.18,2475.35083,0.454
705399.985,2715305.18,2479.35083,0.704
705399.985,2715305.18,2483.35083,0.875
705399.985,2715305.18,2487.35083,0.912
705399.985,2715305.18,2491.35083,0.919
705399.985,2715305.18,2495.35083,0.924
705399.985,2715305.18,2499.35083,0.93
705404.985,2715305.18,2464.56665,0.072
705404.985,2715305.18,2468.56665,0.144
705404.985,2715305.18,2472.56665,0.268
705404.985,2715305.18,2476.56665,0.472
705404.985,2715305.18,2480.56665,0.726
705404.985,2715305.18,2484.56665,0.883
705404.985,2715305.18,2488.56665,0.91
705404.985,2715305.18,2492.56665,0.916
705404.985,2715305.18,2496.56665,0.922
705404.985,2715305.18,2500.56665,0.928
705409.985,2715305.18,2465.059814,0.083
705409.985,2715305.18,2469.059814,0.162
705409.985,2715305.18,2473.059814,0.296
705409.985,2715305.18,2477.059814,0.506
705409.985,2715305.18,2481.059814,0.755
705409.985,2715305.18,2485.059814,0.888
705409.985,2715305.18,2489.059814,0.908
705409.985,2715305.18,2493.059814,0.915
705409.985,2715305.18,2497.059814,0.921
705409.985,2715305.18,2501.059814,0.927
705414.985,2715305.18,2466.219238,0.099
705414.985,2715305.18,2470.219238,0.182
705414.985,2715305.18,2474.219238,0.322
705414.985,2715305.18,2478.219238,0.528
705414.985,2715305.18,2482.219238,0.767
705414.985,2715305.18,2486.219238,0.888
705414.985,2715305.18,2490.219238,0.905
705414.985,2715305.18,2494.219238,0.912
705414.985,2715305.18,2498.219238,0.919
705414.985,2715305.18,2502.219238,0.925
705419.985,2715305.18,2466.671631,0.104
705419.985,2715305.18,2470.671631,0.187
705419.985,2715305.18,2474.671631,0.323
705419.985,2715305.18,2478.671631,0.525
705419.985,2715305.18,2482.671631,0.755
705419.985,2715305.18,2486.671631,0.883
705419.985,2715305.18,2490.671631,0.902
705419.985,2715305.18,2494.671631,0.91
705419.985,2715305.18,2498.671631,0.917
705419.985,2715305.18,2502.671631,0.923
705424.985,2715305.18,2467.275879,0.085
705424.985,2715305.18,2471.275879,0.16
705424.985,2715305.18,2475.275879,0.29
705424.985,2715305.18,2479.275879,0.48
705424.985,2715305.18,2483.275879,0.713
705424.985,2715305.18,2487.275879,0.871
705424.985,2715305.18,2491.275879,0.897
705424.985,2715305.18,2495.275879,0.907
705424.985,2715305.18,2499.275879,0.914
705424.985,2715305.18,2503.275879,0.921
705429.985,2715305.18,2466.603516,0.071
705429.985,2715305.18,2470.603516,0.138
705429.985,2715305.18,2474.603516,0.256
